Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NTUNGWA|KANIABIZO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NTUNGWA|MISHENYI
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NTUNGWA|MUKISHAHA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|BUYUNDO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|KAHAMA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|KARONI
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|KARUKONDO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|KIBARAMA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYAKASHURE|SAMARIA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|KAYENJE
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|KIBALE
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|MPANGANGO LOWER
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|MPANGANGO UPPER
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|NTUNGAMO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|NYAKATOOMA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|NYAMIYAGA I
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|NYARURAMBI|NYAMIYAGA  II
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|RUSHAKA|KIRURUMA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|RUSHAKA|MASHOOKO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|RUSHAKA|NYABUSHORO
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|RUSHAKA|NYAKAGYERA
Uganda|KANUNGU|KINKIIZI|NYAMIRAMA|RUSHAKA|NYARUHUNGYE
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|BUKORWE
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|BURAMBI
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|KARAMBI
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|KAZINGA
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|NYAKABUNGO
Uganda|KANUNGU|KINKIIZI|INYANGA|BUKORWE|NYAKASHOZI
Uganda|KANUNGU|KINKIIZI|INYANGA|KAMAHE|BWERAMAANA
Uganda|KANUNGU|KINKIIZI|INYANGA|KAMAHE|NYARUTEMBE A
Uganda|KANUNGU|KINKIIZI|INYANGA|KAMAHE|NYARUTEMBE B
Uganda|KANUNGU|KINKIIZI|INYANGA|KAMAHE|YERUSALEMU
Uganda|KANUNGU|KINKIIZI|INYANGA|NKUNDA|KAZINGA
Uganda|KANUNGU|KINKIIZI|INYANGA|NKUNDA|NKUNDA
Uganda|KANUNGU|KINKIIZI|INYANGA|NKUNDA|NYEIBINGA
Uganda|KANUNGU|KINKIIZI|INYANGA|NKUNDA|RUNYINYA
Uganda|KANUNGU|KINKIIZI|INYANGA|NKUNDA|RURAMA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|BUSANZA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|ISHASHA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|KAZINGA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|MUNTUHA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|MUSHUNGA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|NYANGA
Uganda|KANUNGU|KINKIIZI|INYANGA|NYANGA|RUTOOMA
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|BWEIBARE
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|KABAHESI
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|KABATWA
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|KABUNGU
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|KAHAMA
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|KATUNGU
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|MURARA
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|NYAMAKAMBA
Uganda|KANUNGU|KINKIIZI|RUGYEYO|KASHOJWA|NYAMUTUNDAMI
